Address,Zip Code,Value,SQFT,Price Per SQFT,Number of Bedrooms,Number of Bathrooms,Number of Full Bathrooms,Year Built,Heating,Cooling,Parking,Type,Has Garage,Number of Stories,HOA Fee
2637 W Belmont Ave UNIT 4,60618,335000,null,NaN,2,2,2,2003,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Condo,null,4,173
2055 N Dayton St #1A,60614,525000,null,NaN,3,2,2,null,null,null,None,Condo,No,2,515
75 E Elm St,60611,3995000,7150,559,7,7,6,1887,Forced air: Gas,Central,Garage: None,Single Family,No,null,null
10119 S Eberhart Ave,60628,129900,1224,106,2,2,1,1941,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4317 S Calumet Ave,60653,675000,3990,169,5,4,3,2019,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3017 S Quinn St,60608,698000,3700,189,4,5,4,2020,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4800 S Lake Park Ave #2108A,60615,40000,1100,36,2,1,1,1970,null,Central,Garage - Detached,Condo,No,9,1234
611 S Wells St APT 803,60607,499000,1667,299,3,3,2,2008,Electric,Central,Garage - Attached: Covered,Condo,null,9,881
3110 N Greenview Ave APT 2E,60657,375000,1250,300,2,2,2,2004,Forced air: Gas,Central,Covered,Condo,null,6,394
6301 N Sheridan Rd APT 22B,60660,152500,null,NaN,2,2,2,1963,Forced air,Central,Garage: Garage - Attached: Covered,Condo,null,25,838
2659 N Ashland Ave #11,60614,624500,2700,231,3,3,2,2003,Gas,Central,Garage - Attached: Covered,Townhouse,null,3,105
746 W Cornelia Ave #GW,60657,219000,1050,209,2,1,1,1913,Forced air: Gas,Central,None: Covered,Condo,No,3,212
5 N Wabash Ave APT 1604,60602,254900,1089,234,2,1,1,1910,Forced air: Gas,Central,None,Condo,No,9,550
1849 W North Ave UNIT 5,60622,400000,1200,333,2,2,2,1997,Forced air: Gas,Central,Garage: Off-street: Covered,Condo,null,4,254
5637 S Green St,60621,89900,null,NaN,6,2,2,null,Other: Gas,null,Covered,Multiple Occupancy,null,2,null
1720 S Michigan Ave APT 3217,60616,194900,705,276,1,1,1,2008,Forced air: Gas,Central,None,Condo,No,9,352
5522 W Farragut Ave,60630,299000,1924,155,3,2,2,1928,Gas,Central,None,Single Family,No,null,null
4607 W Shakespeare Ave,60639,289000,1200,241,4,1,1,1922,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5138 S Kenwood Ave APT 3,60615,500000,3000,167,4,3,3,1916,Baseboard: Gas,Central,Garage - Detached: Covered,Condo,null,3,551
1949 N Monticello Ave #1,60647,175000,850,206,2,2,2,1925,Forced air: Gas,Central,None,Condo,No,2,337
700 W Van Buren St APT 710,60607,209000,700,299,1,1,1,2001,Forced air: Gas,Central,Garage: Garage - Attached,Condo,No,1,314
4729 N Beacon St APT 2S,60640,390000,1900,205,3,2,2,1926,Forced air: Gas,Central,Covered,Condo,null,3,463
2650 N Lakeview Ave APT 806,60614,275000,800,344,1,1,1,1974,Forced air,Central,Garage - Attached: Covered,Condo,null,9,538
1705 N Crilly Ct #B,60614,399900,1325,302,3,2,2,1889,Forced air: Gas,Central,None,Condo,No,4,448
